,Week,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif,score_diff
0,3,-979,-52,-0.5999999999999996,11,-79,40,25,151,0,14,-0.09999999999999964,-12,-80,-1130,-5,-1.8000000000000003,-57,-15,-14.099999999999998,6.5,-0.39999999999999947,-5.300000000000004,-0.54,1.5,73.0,17.0,56.0,-1.5,0.5,-9.5,62.0,-71.5,2.0,18
0,4,-821,-49,-0.5,10,-72,-25,0,-126,0,9,-0.2999999999999998,-30,-57,-695,-10,-1.1,-47,2,-15.900000000000002,4.800000000000001,-0.09999999999999964,-3.3000000000000007,-0.8499999999999999,4.0,69.33333333333331,63.0,6.333333333333314,-0.3333333333333333,-6.666666666666664,-109.33333333333337,-27.666666666666657,-81.66666666666666,0.0,19
0,5,-503,-75,-0.09999999999999964,-3,-36,44,43,374,0,4,0.20000000000000018,14,-108,-877,2,-1.0000000000000004,-42,-2,-7.800000000000001,-0.8999999999999986,-0.09999999999999964,-0.5,-0.19999999999999996,1.0,8.666666666666629,15.0,-6.333333333333314,-0.3333333333333333,6.333333333333332,10.0,48.66666666666666,-38.66666666666667,-1.3333333333333335,32
0,6,-521,-15,-0.40000000000000036,10,-38,74,74,453,0,9,-0.09999999999999964,22,-99,-974,-11,-1.3000000000000003,-52,8,-12.8,5.100000000000001,-0.09999999999999964,-2.3000000000000007,-0.5999999999999999,15.0,250.0,162.0,88.0,-1.0,6.333333333333333,106.33333333333334,94.99999999999999,11.333333333333329,1.3333333333333335,-2
0,7,-1498,-92,-0.9000000000000004,5,-68,-19,-24,-726,0,5,-1.0,-36,-74,-772,-7,-1.1,-36,-15,-15.400000000000002,3.3000000000000007,-0.39999999999999947,-6.5,-0.6399999999999999,6.666666666666664,72.33333333333337,22.0,50.33333333333333,-0.6666666666666666,-3.3333333333333357,17.666666666666686,14.333333333333343,3.3333333333333286,0.6666666666666667,-5
0,8,-261,30,-0.40000000000000036,6,-4,60,34,124,0,7,-0.2999999999999998,15,-18,-385,-1,-0.8000000000000003,-25,-4,-10.7,2.200000000000001,-0.20000000000000018,-2.700000000000003,-0.32000000000000006,5.666666666666668,122.33333333333331,54.33333333333334,68.0,1.0,3.666666666666668,101.66666666666669,81.0,20.66666666666667,0.6666666666666667,-14
0,10,-896,-80,-0.40000000000000036,3,-59,4,-8,-266,0,6,-0.5,-23,-81,-630,-3,-0.8000000000000003,-37,6,-10.400000000000002,0.9000000000000004,-0.5999999999999996,-5.399999999999999,-0.5,1.6666666666666679,26.00000000000003,39.666666666666686,-13.666666666666664,0.33333333333333326,3.666666666666668,61.33333333333334,52.66666666666666,8.666666666666664,-0.33333333333333337,31
0,11,-403,-47,-0.09999999999999964,10,-23,25,23,328,0,10,0.3000000000000007,2,-69,-731,-1,-1.1,-26,-1,-7.300000000000001,5.100000000000001,0.10000000000000053,0.0,-0.3700000000000001,-4.333333333333334,-25.666666666666686,-32.66666666666666,7.0,0.33333333333333337,-8.000000000000002,-170.33333333333331,-164.66666666666666,-5.666666666666671,0.6666666666666667,13
0,12,-1039,-91,-0.5,5,-56,46,46,194,0,6,-0.1999999999999993,0,-136,-1233,-10,-1.5000000000000004,-53,-2,-11.500000000000004,3.1000000000000014,-0.39999999999999947,-4.700000000000003,-0.5999999999999999,-2.333333333333332,-24.66666666666663,-39.0,14.333333333333329,-1.0,-10.333333333333334,-209.99999999999997,-102.33333333333333,-107.66666666666669,0.6666666666666667,18
0,13,-15,-46,0.20000000000000018,3,-34,39,37,732,0,3,1.0,2,-57,-747,-4,-1.1999999999999997,-38,1,-6.699999999999999,0.20000000000000107,-0.39999999999999947,-0.6000000000000014,-0.33000000000000007,8.333333333333334,205.99999999999997,163.0,42.999999999999986,-0.6666666666666667,-1.3333333333333321,-37.66666666666666,5.0,-42.66666666666667,1.6666666666666665,23
