week,avg_passing_yards,avg_sacks_suffered,avg_passing_air_yards,avg_passing_epa,avg_passing_cpoe,avg_rushing_yards,avg_rushing_epa,avg_receiving_fumbles,avg_receiving_fumbles_lost,avg_def_tackles_solo,avg_def_tackles_with_assist,avg_def_tackle_assists,avg_def_tackles_for_loss,avg_def_fumbles_forced,avg_def_qb_hits,avg_def_interceptions,avg_def_interception_yards,avg_misc_yards,avg_fumble_recovery_opp,avg_penalties,avg_punt_returns,avg_punt_return_yards,avg_kickoff_returns,avg_fg_made,avg_fg_blocked,pst_passing_yards,pst_passing_tds,pst_passing_interceptions,pst_sacks_suffered,pst_sack_fumbles,pst_passing_air_yards,pst_passing_epa,pst_passing_cpoe,pst_passing_2pt_conversions,pst_rushing_yards,pst_rushing_tds,pst_rushing_fumbles,pst_rushing_fumbles_lost,pst_rushing_epa,pst_rushing_2pt_conversions,pst_receiving_fumbles,pst_special_teams_tds,pst_def_tackles_solo,pst_def_tackles_with_assist,pst_def_tackle_assists,pst_def_tackles_for_loss,pst_def_fumbles_forced,pst_def_sacks,pst_def_qb_hits,pst_def_interceptions,pst_def_interception_yards,pst_def_pass_defended,pst_def_tds,pst_def_safeties,pst_misc_yards,pst_fumble_recovery_own,pst_fumble_recovery_opp,pst_fumble_recovery_tds,pst_penalties,pst_timeouts,pst_punt_returns,pst_punt_return_yards,pst_kickoff_returns,pst_fg_made,pst_fg_missed,pst_fg_blocked,pst_fg_long,pst_fg_made_0_19,pst_fg_made_20_29,pst_fg_made_30_39,pst_fg_made_40_49,pst_fg_missed_30_39,pst_pat_made,pst_pat_missed,pst_pat_blocked,pst_gwfg_made,score_diff
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-306.0,10.0,-7.0,-16.0,-3.0,-810.0,73.9119269239524,6.79521307473971,1.0,295.0,0.0,-3.0,1.0,-43.74436754539649,1.0,2.0,0.0,-90.0,-60.0,52.0,11.0,-9.0,6.0,-14.0,4.0,15.0,13.0,0.0,1.0,40.0,-4.0,-5.0,0.0,-23.0,-17.0,5.0,68.0,-6.0,-7.0,4.0,0.0,1.0,0.0,1.0,1.0,-11.0,2.0,6.0,2.0,1.0,-1.0,8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5594.0,36.0,-1.0,16.0,-2.0,5508.0,331.3577427912435,10.04355552739695,3.0,1936.0,24.0,4.0,3.0,-9.734203285503902,-1.0,2.0,2.0,704.0,138.0,142.0,45.0,5.0,50.0,115.0,13.0,84.0,76.0,-2.0,3.0,0.0,1.0,5.0,-2.0,66.0,47.0,29.0,230.0,29.0,54.0,1.0,0.0,69.0,0.0,29.0,10.0,10.0,-2.0,58.0,1.0,0.0,0.0,7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.0,-3.0,-6.0,-20.0,-6.0,-2755.0,49.81055392385779,1.5214468447884395,-1.0,620.0,15.0,-2.0,0.0,50.01857279042633,0.0,0.0,2.0,-34.0,-67.0,15.0,19.0,-1.0,20.0,2.0,7.0,-26.0,46.0,1.0,0.0,39.0,-5.0,-8.0,-2.0,1.0,4.0,14.0,26.0,16.0,6.0,-4.0,0.0,3.0,0.0,3.0,-5.0,7.0,0.0,19.0,-2.0,2.0,0.0,-8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3644.0,19.0,15.0,46.0,20.0,4683.0,-185.9029886912194,-4.59738006518886,-3.0,836.0,-6.0,1.0,-1.0,-81.581202125221,2.0,-2.0,-1.0,498.0,396.0,436.0,29.0,7.0,-1.0,23.0,5.0,28.0,65.0,2.0,2.0,0.0,16.0,0.0,-5.0,70.0,62.0,20.0,-29.0,37.0,6.0,5.0,4.0,48.0,0.0,10.0,-7.0,-1.0,3.0,3.0,-1.0,3.0,1.0,-5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.0,9.0,13.0,47.0,5.0,3321.0,-71.8129328775336,1.877863922528963,-2.0,2183.0,16.0,6.0,3.0,-8.532550143410703,2.0,4.0,-2.0,649.0,26.0,322.0,62.0,2.0,21.0,95.0,3.0,49.0,45.0,-3.0,0.0,0.0,15.0,5.0,-2.0,134.0,77.0,39.0,-175.0,36.0,20.0,3.0,2.0,56.0,0.0,8.0,-2.0,17.0,0.0,18.0,-1.0,0.0,1.0,31
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3788.0,55.0,6.0,48.0,13.0,5788.0,65.1686037071203,-2.427740485424106,8.0,2383.0,6.0,13.0,6.0,-15.190362374474404,4.0,1.0,0.0,609.0,57.0,149.0,87.0,16.0,37.0,145.0,30.0,448.0,119.0,2.0,0.0,16.0,17.0,14.0,7.0,130.0,51.0,31.0,317.0,-3.0,24.0,7.0,-2.0,65.0,-1.0,4.0,0.0,17.0,5.0,45.0,8.0,0.0,2.0,6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5547.0,43.0,2.0,-2.0,-3.0,5298.0,318.56121543232024,12.72159093407053,4.0,1620.0,13.0,3.0,2.0,-70.88805282673255,-1.0,4.0,4.0,524.0,103.0,127.0,89.0,10.0,78.0,130.0,25.0,271.0,87.0,-1.0,2.0,48.0,4.0,6.0,0.0,92.0,42.0,22.0,193.0,31.0,55.0,-1.0,2.0,52.0,0.0,15.0,20.0,14.0,0.0,49.0,1.0,2.0,8.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4290.0,49.0,2.0,34.0,6.0,6129.0,135.2421409453366,11.635313971736789,2.0,1406.0,0.0,9.0,-1.0,-50.719319661004,0.0,-1.0,2.0,733.0,28.0,406.0,77.0,18.0,45.0,147.0,18.0,187.0,94.0,4.0,4.0,0.0,11.0,11.0,0.0,183.0,42.0,31.0,123.0,52.0,18.0,10.0,-2.0,45.0,0.0,6.0,3.0,12.0,5.0,47.0,2.0,0.0,0.0,-3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4541.0,5.0,22.0,59.0,7.0,5626.0,-86.5391731884982,-9.82053122705912,-1.0,1367.0,15.0,10.0,1.0,21.95304750465459,-1.0,0.0,0.0,785.0,143.0,185.0,55.0,26.0,24.0,114.0,6.0,170.0,45.0,1.0,-1.0,-40.0,10.0,15.0,0.0,146.0,86.0,29.0,236.0,37.0,46.0,-3.0,1.0,51.0,0.0,6.0,10.0,28.0,-2.0,22.0,-1.0,0.0,3.0,-8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4880.0,29.0,20.0,60.0,14.0,8927.0,7.025341572751401,1.6384628856011805,2.0,830.0,-7.0,9.0,3.0,-93.50487716104185,1.0,5.0,-2.0,741.0,150.0,224.0,39.0,19.0,2.0,77.0,6.0,244.0,10.0,0.0,0.0,-39.0,19.0,21.0,5.0,103.0,63.0,6.0,166.0,4.0,19.0,13.0,0.0,47.0,0.0,4.0,14.0,-1.0,1.0,9.0,5.0,-2.0,1.0,8
