,Week,Team,Opponent,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif,score_diff
0,9,6,18,674,53,0.2999999999999998,1,37,-5,18,289,2,7,0.40000000000000036,12,44,385,6,0.5,14,21,4.399999999999999,-0.40000000000000036,-0.09999999999999964,1.4000000000000021,0.27000000000000024,2.0,15.0,41.33333333333334,-26.33333333333333,2.333333333333333,8.666666666666668,127.33333333333334,74.66666666666669,52.66666666666667,-0.3333333333333335,-19
0,13,6,20,272,17,0.10000000000000053,6,15,26,33,292,-6,9,0.3000000000000007,6,-2,-20,3,0.0,3,13,3.0,3.4000000000000004,0.10000000000000053,1.7000000000000028,0.03000000000000025,-4.333333333333334,-20.666666666666686,28.666666666666657,-49.33333333333333,0.6666666666666667,-1.333333333333334,-37.0,-6.666666666666686,-30.33333333333333,0.0,-18
0,15,6,7,-315,10,-0.39999999999999947,-7,-4,27,52,112,-7,-5,-0.39999999999999947,10,-41,-427,1,-0.5,-13,3,1.0,-2.5999999999999996,0.10000000000000053,-1.5,-0.08999999999999986,-8.333333333333332,-74.0,-75.66666666666666,1.6666666666666572,0.0,-3.0,-50.666666666666686,-21.0,-29.66666666666667,0.0,16
0,16,6,17,288,38,0.0,-5,16,0,23,250,-3,1,0.40000000000000036,8,31,38,6,-0.20000000000000018,-6,8,5.799999999999997,-3.0,-0.09999999999999964,-0.29999999999999716,0.2200000000000002,-0.6666666666666679,8.666666666666686,63.33333333333334,-54.66666666666666,1.3333333333333335,0.3333333333333357,30.0,55.66666666666666,-25.66666666666667,-0.6666666666666666,6
0,1,7,31,1570,50,1.2999999999999998,11,64,-2,-69,572,10,9,1.8999999999999995,21,131,998,6,1.0999999999999996,34,-6,10.799999999999997,4.699999999999999,0.20000000000000018,8.200000000000003,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49
0,2,7,8,511,22,0.39999999999999947,0,28,-35,-97,-11,2,3,1.0999999999999996,-13,118,522,10,-0.10000000000000053,23,16,7.299999999999997,-0.8000000000000007,0.2999999999999998,3.5000000000000036,0.52,-12.0,-265.0,-187.0,-78.0,3.0,16.0,335.0,102.0,233.0,-1.0,-43
0,3,7,18,989,43,0.6999999999999993,8,41,-32,-34,177,9,12,0.7999999999999998,2,85,812,5,1.0,27,18,3.3999999999999986,2.1999999999999993,-0.20000000000000018,2.900000000000002,0.3600000000000001,-12.5,-292.0,-172.5,-119.5,3.0,7.0,148.5,53.0,95.5,-0.5,-25
0,4,7,14,918,43,0.6999999999999993,8,39,-16,-40,286,8,8,1.0999999999999996,17,90,632,6,0.5,15,4,6.199999999999996,2.3999999999999986,-0.20000000000000018,2.700000000000003,0.44999999999999996,-9.333333333333334,-185.99999999999997,-119.33333333333334,-66.66666666666667,0.9999999999999998,8.333333333333336,135.66666666666663,39.66666666666666,96.0,-0.33333333333333337,-20
0,6,7,17,603,28,0.39999999999999947,2,20,-27,-29,138,4,6,0.7999999999999998,-2,72,465,5,0.2999999999999998,7,5,4.799999999999997,-0.40000000000000036,-0.20000000000000018,1.2000000000000028,0.31000000000000005,-4.666666666666666,-79.66666666666666,-38.0,-41.66666666666667,-3.0,-5.333333333333336,-87.66666666666663,-64.33333333333334,-23.33333333333333,-1.6666666666666667,-1
0,8,7,9,1022,37,0.7999999999999998,13,33,-27,-58,235,4,13,1.2999999999999998,-5,116,787,4,0.5999999999999996,32,-29,6.199999999999996,6.0,0.2999999999999998,5.800000000000004,0.3900000000000001,3.0,42.33333333333334,45.0,-2.6666666666666714,0.33333333333333326,-5.0,-3.0,-33.66666666666666,30.666666666666664,-2.0,-13
0,10,7,12,822,27,0.5999999999999996,2,35,-49,-34,127,10,6,0.7000000000000002,-8,68,695,5,0.8999999999999999,29,-24,4.399999999999999,-0.3000000000000007,-0.20000000000000018,2.6000000000000014,0.43999999999999995,-0.6666666666666643,-34.0,2.333333333333343,-36.33333333333333,0.33333333333333326,-1.3333333333333357,25.666666666666686,7.333333333333314,18.33333333333333,-0.6666666666666666,4
0,12,7,10,-31,-98,0.5,-3,-27,-58,-118,-193,10,4,1.0999999999999996,-21,26,162,-3,0.09999999999999964,-14,-12,4.600000000000001,-1.200000000000001,0.0,3.200000000000003,0.3900000000000001,-2.666666666666668,-54.66666666666663,11.333333333333343,-66.0,1.0,2.333333333333332,54.333333333333314,24.0,30.33333333333333,-0.3333333333333335,-17
0,16,7,11,-361,-60,0.0,10,-22,-54,-76,-482,-1,9,0.20000000000000018,-26,19,121,0,0.09999999999999964,-9,-6,-6.399999999999999,4.0,-0.5,-3.1999999999999957,-0.22999999999999998,2.0,37.333333333333314,65.66666666666666,-28.33333333333333,-1.0,6.0,92.33333333333337,106.00000000000003,-13.666666666666671,1.0,3
0,17,7,8,511,22,0.39999999999999947,0,28,-35,-97,-11,2,3,1.0999999999999996,-13,118,522,10,-0.10000000000000053,23,16,7.299999999999997,-0.8000000000000007,0.2999999999999998,3.5000000000000036,0.52,4.666666666666664,88.33333333333331,112.33333333333334,-24.000000000000014,0.33333333333333337,6.0,95.66666666666663,102.99999999999997,-7.333333333333329,-0.6666666666666667,3
0,1,8,9,511,15,0.40000000000000036,13,5,8,39,246,2,10,0.20000000000000018,8,-2,265,-6,0.7000000000000002,9,-45,-1.1000000000000014,6.800000000000001,0.0,2.3000000000000007,-0.1299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0,5,8,17,92,6,0.0,2,-8,8,68,149,2,3,-0.2999999999999998,11,-46,-57,-5,0.40000000000000036,-16,-11,-2.5,0.40000000000000036,-0.5,-2.3000000000000007,-0.20999999999999996,2.3333333333333357,65.66666666666669,34.0,31.66666666666667,-1.6666666666666667,-9.999999999999998,-165.66666666666666,-81.0,-84.66666666666666,1.0,26
